ID,CLASS,TITLE,SUBJECTS
000089558001,ND 653 .G7/V319,"Van Gogh, 1853-1890","Gogh, Vincent van, 1853-1890
Art
Sanat"
000089560001,NC 998.4/.W429,Grafik tasar?m = Le design graphique,"Commercial Art--History--20th Century
Commercial Art--H?story--19th Century
Graphic Arts--History--20th Century
Graphic Arts--History--19th Century
Ticari Sanat--Tarih--20. Yüzy?l
Ticari Sanat--Tarih--19. Yüzy?l
Grafik Sanat?--Tarih--20. Yüzy?l
Grafik Sanat?--Tarih--19. Yüzy?l"
000089563001,Q 127 .A5/J319,Bilimde Araplar?n alt?n ça?? = L'épopée de la science Arabe,"Science--Arab Countries--History
Bilim--Arap Ülkeleri--Tarih"
000089564001,PQ 2605 .A3734/Z819,Camus : ba?kald?ran insan = Camus : l’homme revolte,"Camus, Albert, 1913-1960"
000089565001,D 157 .T18/H1,Haçl? seferleri zaman?nda do?u = L'orient des croisades,"Islamic Civilization
Crusades
Middle East--Relations--Europe
Europe--Relations--Middle East
?slam Medeniyeti
Haçl? Seferleri
Orta Do?u--?li?kiler--Avrupa
Avrupa--?li?kiler--Orta Do?u"
000089566001,QB 52/.V47,"Gökyüzü düzen ve karma?a = Le ciel, ordre et désordre","Astronomy--Miscellanea
Sky
Astronomi--Derleme
Gökyüzü"
000089569001,PJ 7820 .E78/B6,Bu ?iirin bitmesini istemiyorum = La uridu li hazi’l-kasideti en tentehiye,"Arabic Literature--Poetry
Arap Edebiyat?--?iir"
000089571001,PL 248 .M465/A15,"Toplu öyküleri : Bozbulan?k, Topal ko?ma, Menek?eli bilinç","Meriç, Nezihe, 1925-
Turkish Literature--Fiction
Turkish Literature--Collections
Türk Edebiyat?--Roman
Türk Edebiyat?--Koleksiyonlar"
000095264001,QH 366.2/.R53,Erdemin kökenleri,"Evolution (Biology)
Altruism
Ethics, Evolutionary
Evrim (Biyoloji)
Fedakarl?k
Etik, Evrimsel"
000095271001,PL 248 .O9554/Z795,Tezer Özlü'ye arma?an : ya?ant?,"Özlü, Tezer, 1943-1986--Criticism and Interpretation
Özlü, Tezer, 1943-1986--Biography
Turkish Drama
Özlü, Tezer, 1943-1986--Ele?tiri ve Yorumlama
Özlü, Tezer, 1943-1986--Biyografi
Türk Tiyatrosu"
000095274001,PR 6059 .S5/G86,Günden kalanlar : roman = Remains of the day,"English Literature--Fiction
?ngiliz Edebiyat?--Roman"
000095291001,PL 248 .T36/S26,Sancho'nun sabah yürüyü?ü,"Short Stories, Turkish
Turkish Literature--Fiction
K?sa Öyküler, Türkçe
Türk Edebiyat?--Roman"
000095297001,PL 248 .T36/F39,Fazilet eczanesi : oyun,"Turkish Drama--20th Century
Türk Tiyatrosu--20. Yüzy?l"
000095302001,PL 235 .C367/B46,Ben Ruhi Bey nas?l?m : ?iir,"Turkish Literature--Poetry
Türk Edebiyat?--?iir"
000095303001,PL 235 .U93/D86,Dünyan?n en güzel Arabistan?,"Turkish Literature--Poetry
Türk Edebiyat?--?iir"
000095305001,PL 235 .O74/G37,"Garip : ?iir hakk?nda dü?ünceler ve Melih Cevdet, Oktay Rifat, Orhan Veli'den seçilmi? ?iirler","Turkish Literature--Poetry
Türk Edebiyat?--?iir"
000095306001,PL 219/.C36,?iir üzerine notlar,"Turkish Poetry--20th Century--History and Criticism
Poets, Turkish--20th Century
Türk ?iiri--20. Yüzy?l--Tarih ve Ele?tiri
?airler, Türk--20. Yüzy?l"
